,subscribers,youtuber,video_views,channel_category,channel_uploads,country,lowest_yearly_earnings,highest_yearly_earnings,created_year,tertiary_education_enrollment,population,unemployment_rate,channel_type,Latitude,Longitude,region
462,18400000,RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,11544297793.0,Music,3159,Thailand,162400.0,2600000.0,2011,49.3,69625582.0,0.75,Music,15.870032,100.992541,Asia
464,18400000,shakiraVEVO,25367126292.0,Music,197,United States,801400.0,12800000.0,2009,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
465,18300000,Naisa Alifia Yuriza (N.A.Y),1606834186.0,Lifestyle,786,Indonesia,51200.0,819000.0,2017,36.3,270203917.0,4.69,Entertainment,-0.789275,113.921327,Asia
466,18300000,Miley Cyrus,7760819588.0,Entertainment,142,United States,383900.0,6100000.0,2009,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
467,18300000,IShowSpeed,1556003039.0,Gaming & Sports,1324,United States,420800.0,6700000.0,2016,88.2,328239523.0,14.7,Games,37.09024,-95.712891,N.America
470,18200000,INCRï¿½ï¿,3213324455.0,Lifestyle,6903,Brazil,54100.0,866200.0,2017,51.3,212559417.0,12.08,Howto,-14.235004,-51.92528,S.America
471,18100000,Jake Fellman,13378360425.0,Entertainment,420,United States,1500000.0,23900000.0,2012,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
472,18100000,GEN HALILINTAR,3306242674.0,Entertainment,1037,Indonesia,81900.0,1300000.0,2015,36.3,270203917.0,4.69,Entertainment,-0.789275,113.921327,Asia
473,18100000,SQUEEZIE,9983065083.0,Gaming & Sports,1521,France,144300.0,2300000.0,2011,65.6,67059887.0,8.43,Entertainment,46.227638,2.213749,Europe
474,18100000,Blippi - Educational Videos for Kids,14857290259.0,Education,707,United States,541200.0,8700000.0,2014,88.2,328239523.0,14.7,Education,37.09024,-95.712891,N.America
475,18100000,officialpsy,10703830496.0,Music,131,South Korea,195000.0,3100000.0,2010,94.3,51709098.0,4.15,Music,35.907757,127.766922,Asia
477,18000000,Manual do Mundo,3980991248.0,Education,2470,Brazil,164300.0,2600000.0,2006,51.3,212559417.0,12.08,Tech,-14.235004,-51.92528,S.America
479,18000000,And TV,15412333005.0,Entertainment,45,United States,0.01,0.19,2006,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
480,18000000,Sebastiï¿½ï¿½ï¿½,10463166404.0,Education,237,United States,332300.0,5300000.0,2013,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
481,18000000,SonyMusicSouthVEVO,17921124985.0,Music,5692,United States,772800.0,12400000.0,2014,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
482,18000000,TheGrefg,6404852037.0,Gaming & Sports,3566,Spain,131500.0,2100000.0,2012,88.9,47076781.0,13.96,Games,40.463667,-3.74922,Europe
484,17900000,David Dobrik,7176572299.0,Lifestyle,536,United States,26000.0,415200.0,2014,88.2,328239523.0,14.7,People,37.09024,-95.712891,N.America
485,17900000,KatieAngel,3841205465.0,Lifestyle,982,United States,155100.0,2500000.0,2015,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
486,17900000,RobleisIUTU,5168721499.0,Entertainment,1344,Argentina,82600.0,1300000.0,2013,90.0,44938712.0,9.79,Games,-38.416097,-63.616672,S.America
487,17900000,Lele Pons,5244917119.0,Lifestyle,185,United States,55600.0,890300.0,2015,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
488,17900000,Demi Lovato,6888074944.0,Music,314,United States,87500.0,1400000.0,2008,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
489,17900000,Like Nastya VNM,9867515979.0,Entertainment,602,Vietnam,253400.0,4100000.0,2019,28.5,96462106.0,2.01,Entertainment,14.058324,108.277199,Asia
490,17900000,Jason Derulo,9887116267.0,Music,830,United States,1300000.0,21500000.0,2008,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
491,17900000,MGC Playhouse,16174530046.0,Media,1426,United States,307900.0,4900000.0,2009,88.2,328239523.0,14.7,Education,37.09024,-95.712891,N.America
493,17800000,Priyal Kukreja,11057945183.0,Lifestyle,772,India,1300000.0,20700000.0,2021,28.1,1366417754.0,5.36,People,20.593684,78.96288,Asia
494,17800000,MSA previously My Story Animated,8588704539.0,Media,26,United States,62.0,994.0,2021,88.2,328239523.0,14.7,People,37.09024,-95.712891,N.America
497,17700000,ArianaGrandeVevo,20115544708.0,Music,178,United States,292300.0,4700000.0,2010,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
498,17700000,jaanvi patel,7912733203.0,Lifestyle,512,India,1000000.0,16600000.0,2018,28.1,1366417754.0,5.36,People,20.593684,78.96288,Asia
499,17700000,tanboy kun,3647267655.0,Lifestyle,739,Indonesia,144500.0,2300000.0,2016,36.3,270203917.0,4.69,Entertainment,-0.789275,113.921327,Asia
501,17700000,Porta dos Fundos,7739048000.0,Entertainment,2240,Brazil,106000.0,1700000.0,2012,51.3,212559417.0,12.08,Entertainment,-14.235004,-51.92528,S.America
502,17700000,News 24,8396875537.0,Education,211620,Ukraine,1100000.0,17800000.0,2006,82.7,44385155.0,8.88,News,48.379433,31.16558,Europe
503,17700000,Les' Copaque Production,9059696049.0,Media,1716,Malaysia,353200.0,5700000.0,2009,45.1,32447385.0,3.32,Entertainment,4.210484,101.975766,Asia
504,17700000,El Payaso Plim Plim,17247584185.0,Media,1316,Argentina,1900000.0,30700000.0,2013,90.0,44938712.0,9.79,Music,-38.416097,-63.616672,S.America
505,17600000,zbing z.,9269174070.0,Gaming & Sports,3151,Thailand,165400.0,2600000.0,2014,49.3,69625582.0,0.75,Games,15.870032,100.992541,Asia
506,17600000,MissaSinfonia,2274007523.0,Lifestyle,233,Mexico,82300.0,1300000.0,2011,40.2,126014024.0,3.42,Comedy,23.634501,-102.552784,N.America
507,17600000,ýýýýýýýýý Liziqi,2977741577.0,Education,128,China,67100.0,1100000.0,2017,50.6,1397715000.0,4.32,Howto,35.86166,104.195397,Asia
509,17600000,DeGoBooM,6306204566.0,Gaming & Sports,4702,Chile,300600.0,4800000.0,2014,88.5,18952038.0,7.09,Games,-35.675147,-71.542969,S.America
510,17600000,JFlaMusic,3802280098.0,Music,326,South Korea,33300.0,532700.0,2011,94.3,51709098.0,4.15,Music,35.907757,127.766922,Asia
511,17500000,FactTechz,2238134438.0,Entertainment,709,India,63200.0,1000000.0,2016,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
512,17500000,News18 India,7263619576.0,Education,182742,India,1200000.0,18900000.0,2007,28.1,1366417754.0,5.36,News,20.593684,78.96288,Asia
513,17500000,Fun For Kids TV - Hindi Rhymes,7612385622.0,Entertainment,149,India,329500.0,5300000.0,2017,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
514,17500000,IGN,16107116549.0,Gaming & Sports,156215,United States,295000.0,4700000.0,2006,88.2,328239523.0,14.7,Games,37.09024,-95.712891,N.America
515,17400000,Aphmau,17763586483.0,Gaming & Sports,4411,United States,1300000.0,21100000.0,2012,88.2,328239523.0,14.7,Games,37.09024,-95.712891,N.America
516,17400000,AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13043561912.0,Entertainment,118448,Thailand,708000.0,11300000.0,2014,49.3,69625582.0,0.75,News,15.870032,100.992541,Asia
517,17400000,ýýýýýýýýýýýýýýýý - Al-Remas,11144195464.0,Music,2133,Iraq,339000.0,5400000.0,2013,16.2,39309783.0,12.82,Music,33.223191,43.679291,Asia
519,17300000,Apple,1026425106.0,Education,180,United States,139500.0,2200000.0,2005,88.2,328239523.0,14.7,Tech,37.09024,-95.712891,N.America
520,17300000,Stubborn Facts,902225615.0,Media,287,India,2500.0,40200.0,2016,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
521,17300000,Taarak Mehta Ka Ooltah Chashmah,11371738047.0,Entertainment,4778,India,995800.0,15900000.0,2014,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
524,17200000,Marques Brownlee,3606912471.0,Education,1567,United States,157000.0,2500000.0,2008,88.2,328239523.0,14.7,Tech,37.09024,-95.712891,N.America
525,17200000,Anitta,7337212581.0,Music,138,Brazil,218100.0,3500000.0,2011,51.3,212559417.0,12.08,Music,-14.235004,-51.92528,S.America
527,17200000,El Reino a Jugar,11445492404.0,Education,1007,Argentina,251100.0,4000000.0,2015,90.0,44938712.0,9.79,Education,-38.416097,-63.616672,S.America
528,17200000,Willyrex,5024088947.0,Gaming & Sports,7550,Spain,46200.0,739500.0,2009,88.9,47076781.0,13.96,Games,40.463667,-3.74922,Europe
529,17100000,TheBrianMaps,4448334716.0,Lifestyle,498,Russia,111500.0,1800000.0,2012,81.9,144373535.0,4.59,Entertainment,61.52401,105.318756,Europe
530,17100000,TRANS TV Official,9710962528.0,Entertainment,148225,Indonesia,137400.0,2200000.0,2014,36.3,270203917.0,4.69,Entertainment,-0.789275,113.921327,Asia
531,17100000,Liza Koshy,2173106162.0,Lifestyle,142,United States,5300.0,84500.0,2013,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
532,17000000,Queen Official,10847948832.0,Music,1015,United Kingdom,281300.0,4500000.0,2008,60.0,66834405.0,3.85,Music,55.378051,-3.435973,Europe
533,17000000,Prajapati News,1001465469.0,Lifestyle,1407,India,22900.0,366100.0,2013,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
535,17000000,LuisFonsiVEVO,14543594822.0,Music,97,United States,149500.0,2400000.0,2009,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
536,16900000,Pop Chartbusters,8684010451.0,Music,2235,India,218700.0,3500000.0,2011,28.1,1366417754.0,5.36,Music,20.593684,78.96288,Asia
537,16900000,Guava Juice,9111000228.0,Gaming & Sports,1910,United States,32700.0,522600.0,2006,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
538,16900000,EeOneGuy,3827906874.0,Entertainment,366,United States,4900.0,78500.0,2013,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
539,16900000,VICE,4609753237.0,Entertainment,3900,United States,109100.0,1700000.0,2005,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
540,16900000,Aayu and Pihu Show,9270331567.0,Lifestyle,441,India,269300.0,4300000.0,2017,28.1,1366417754.0,5.36,People,20.593684,78.96288,Asia
541,16900000,Danny Fitt,9544277833.0,Lifestyle,2337,United States,825800.0,13200000.0,2016,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
542,16900000,Bispo Bruno Leonardo,3523578665.0,Education,4891,Brazil,448600.0,7200000.0,2016,51.3,212559417.0,12.08,Nonprofit,-14.235004,-51.92528,S.America
546,16800000,Like Nastya IDN,7195314800.0,Entertainment,502,Indonesia,128500.0,2100000.0,2019,36.3,270203917.0,4.69,Entertainment,-0.789275,113.921327,Asia
547,16800000,Gato Galactico | GALï¿½ï¿,3693798804.0,Media,1491,Brazil,132400.0,2100000.0,2013,51.3,212559417.0,12.08,Entertainment,-14.235004,-51.92528,S.America
549,16700000,CoryxKenshin,7102965621.0,Gaming & Sports,1693,United States,315300.0,5000000.0,2009,88.2,328239523.0,14.7,Games,37.09024,-95.712891,N.America
550,16700000,With Kids[ï¿½ï¿½ï¿½ï¿½ï,8826138204.0,Entertainment,920,United States,137100.0,2200000.0,2012,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
551,16700000,Travis Scott,7979736581.0,Music,13,United States,113.0,1800.0,2010,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
552,16700000,Tu COSMOPOLIS,5089284369.0,Lifestyle,8741,Mexico,48400.0,774700.0,2014,40.2,126014024.0,3.42,People,23.634501,-102.552784,N.America
554,16600000,Werever2morro,2798273962.0,Entertainment,0,Mexico,0.0,0.0,2010,40.2,126014024.0,3.42,Games,23.634501,-102.552784,N.America
556,16600000,NMF News,7435180827.0,Education,112261,India,177600.0,2800000.0,2013,28.1,1366417754.0,5.36,News,20.593684,78.96288,Asia
557,16600000,SriBalajiMovies,9439857193.0,Entertainment,20102,India,462100.0,7400000.0,2011,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
558,16600000,Lahari Music - TSeries,11946217860.0,Music,8976,India,267000.0,4300000.0,2011,28.1,1366417754.0,5.36,Music,20.593684,78.96288,Asia
559,16600000,Younes Zarou,15278668857.0,Entertainment,2200,Germany,1900000.0,29600000.0,2021,70.2,83132799.0,3.04,Entertainment,51.165691,10.451526,Europe
560,16600000,Jordan Matter,5819508534.0,Entertainment,413,United States,597100.0,9600000.0,2006,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
561,16500000,ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý,2440934034.0,Entertainment,421,United States,65900.0,1100000.0,2014,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
562,16500000,FailArmy,3037260680.0,Lifestyle,438,United States,339000.0,5400000.0,2011,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
563,16500000,BBC News Hindi,7043235131.0,Education,21243,India,393600.0,6300000.0,2009,28.1,1366417754.0,5.36,News,20.593684,78.96288,Asia
564,16500000,FunFun Toy Doll TV,7406207930.0,Entertainment,735,United States,73100.0,1200000.0,2016,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
565,16400000,Sandra Cires Art,3955426159.0,Education,1091,United States,54100.0,865300.0,2011,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
566,16400000,Kaykai Salaider,4434679706.0,Lifestyle,428,Thailand,28000.0,448400.0,2011,49.3,69625582.0,0.75,Entertainment,15.870032,100.992541,Asia
567,16400000,UFC - Ultimate Fighting Championship,7135820721.0,Gaming & Sports,14662,United States,399600.0,6400000.0,2006,88.2,328239523.0,14.7,Sports,37.09024,-95.712891,N.America
568,16400000,Ch7HD,9463244435.0,Entertainment,56203,Thailand,263300.0,4200000.0,2010,49.3,69625582.0,0.75,Entertainment,15.870032,100.992541,Asia
571,16400000,GMMTV OFFICIALï¿½ï¿½,12844432341.0,Entertainment,23952,Thailand,544100.0,8700000.0,2010,49.3,69625582.0,0.75,Entertainment,15.870032,100.992541,Asia
572,16300000,Matt Stonie,3527627264.0,Entertainment,54,United States,89.0,1400.0,2010,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
573,16300000,Boyce Avenue,6578828147.0,Music,490,United States,86400.0,1400000.0,2007,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
574,16300000,Camila Cabello,6613422635.0,Music,80,United States,128100.0,2000000.0,2015,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
575,16300000,Little Mix,7520242626.0,Music,278,United Kingdom,115800.0,1900000.0,2011,60.0,66834405.0,3.85,Music,55.378051,-3.435973,Europe
576,16300000,SAM SMITH,10170264839.0,Music,230,United Kingdom,257300.0,4100000.0,2012,60.0,66834405.0,3.85,Entertainment,55.378051,-3.435973,Europe
577,16300000,Pitbull,12475714382.0,Music,352,United States,264000.0,4200000.0,2006,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
578,16300000,Bollywood Classics,7141825267.0,Entertainment,1444,India,454400.0,7300000.0,2011,28.1,1366417754.0,5.36,Music,20.593684,78.96288,Asia
579,16300000,Technoblade,1656452554.0,Gaming & Sports,989,United States,53800.0,861300.0,2013,88.2,328239523.0,14.7,Games,37.09024,-95.712891,N.America
580,16300000,W2S,4768370464.0,Gaming & Sports,652,United Kingdom,9200.0,147800.0,2012,60.0,66834405.0,3.85,Entertainment,55.378051,-3.435973,Europe
581,16200000,Jennifer Lopez,10227242833.0,Music,258,United States,190300.0,3000000.0,2005,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
582,16200000,Kids Play,8091706232.0,Entertainment,593,United States,77700.0,1200000.0,2018,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
583,16200000,T3ddy,2990185467.0,Lifestyle,1930,Brazil,99000.0,1600000.0,2012,51.3,212559417.0,12.08,People,-14.235004,-51.92528,S.America
584,16200000,JJ Olatunji,4076692623.0,Gaming & Sports,1294,United Kingdom,83400.0,1300000.0,2011,60.0,66834405.0,3.85,Entertainment,55.378051,-3.435973,Europe
585,16200000,POPS Kids,9763592867.0,Music,3943,Vietnam,770200.0,12300000.0,2014,28.5,96462106.0,2.01,Film,14.058324,108.277199,Asia
586,16200000,Thairath Online,14563841315.0,Education,244899,Thailand,674300.0,10800000.0,2010,49.3,69625582.0,0.75,News,15.870032,100.992541,Asia
587,16200000,LEGO,20522339099.0,Entertainment,31889,Singapore,351600.0,5600000.0,2005,84.8,5703569.0,4.11,Entertainment,1.352083,103.819836,Asia
588,16200000,XO TEAM,14784781923.0,Lifestyle,189,United States,114.0,1800.0,2020,88.2,328239523.0,14.7,People,37.09024,-95.712891,N.America
589,16200000,AdMe,4488680903.0,Entertainment,10,Spain,0.01,0.19,2006,88.9,47076781.0,13.96,Music,40.463667,-3.74922,Europe
591,16100000,Dyland PROS,1517638132.0,Entertainment,2805,Indonesia,28900.0,461700.0,2015,36.3,270203917.0,4.69,Games,-0.789275,113.921327,Asia
594,16100000,Canal IN,2687443643.0,Lifestyle,723,Brazil,41400.0,662500.0,2017,51.3,212559417.0,12.08,Entertainment,-14.235004,-51.92528,S.America
596,16100000,Daily Dose Of Internet,6872702790.0,Entertainment,671,United States,1200000.0,19200000.0,2015,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
597,16100000,FitDance,7126210721.0,Music,41,France,2.0,37.0,2006,65.6,67059887.0,8.43,Entertainment,46.227638,2.213749,Europe
599,16100000,Disney Junior,15812009296.0,Entertainment,4045,United States,801400.0,12800000.0,2008,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
600,16100000,La Rosa de Guadalupe,9642146451.0,Entertainment,0,Mexico,0.0,0.0,2008,40.2,126014024.0,3.42,Games,23.634501,-102.552784,N.America
602,16000000,wifistudy,3018032423.0,Education,52144,India,42900.0,685800.0,2014,28.1,1366417754.0,5.36,Education,20.593684,78.96288,Asia
603,16000000,Antrax,3029872908.0,Gaming & Sports,687,Mexico,14100.0,225500.0,2015,40.2,126014024.0,3.42,Games,23.634501,-102.552784,N.America
605,16000000,Totoy kids - Espaï¿½ï,5997599089.0,Media,344,Mexico,337200.0,5400000.0,2017,40.2,126014024.0,3.42,Film,23.634501,-102.552784,N.America
606,15900000,ýýýýýýýýýý,1845329502.0,Lifestyle,0,Russia,0.0,0.0,2017,81.9,144373535.0,4.59,Games,61.52401,105.318756,Europe
607,15900000,DopeLyrics,9962188084.0,Music,2035,United States,29700.0,475900.0,2016,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
608,15900000,jeffreestar,2609358468.0,Education,433,United States,6000.0,96300.0,2006,88.2,328239523.0,14.7,Howto,37.09024,-95.712891,N.America
609,15900000,Lyna,6534326412.0,Gaming & Sports,4906,Argentina,192300.0,3100000.0,2014,90.0,44938712.0,9.79,Games,-38.416097,-63.616672,S.America
610,15900000,MK MUSIC,9198986881.0,Music,5105,Brazil,409200.0,6500000.0,2010,51.3,212559417.0,12.08,Music,-14.235004,-51.92528,S.America
611,15900000,Unspeakable,9052367553.0,Gaming & Sports,796,United States,494700.0,7900000.0,2016,88.2,328239523.0,14.7,People,37.09024,-95.712891,N.America
612,15900000,Camilo,6802382479.0,Music,132,Colombia,179700.0,2900000.0,2010,55.3,50339443.0,9.71,Music,4.570868,-74.297333,S.America
613,15800000,Dear Sir,1349288771.0,Education,633,India,72200.0,1200000.0,2016,28.1,1366417754.0,5.36,Education,20.593684,78.96288,Asia
614,15800000,Narendra Modi,3392918989.0,Education,20679,India,557900.0,8900000.0,2007,28.1,1366417754.0,5.36,News,20.593684,78.96288,Asia
615,15800000,Arif muhammad,4122634467.0,Lifestyle,542,Indonesia,215600.0,3400000.0,2017,36.3,270203917.0,4.69,Comedy,-0.789275,113.921327,Asia
616,15800000,Rotten Tomatoes Trailers,13116313599.0,Media,10441,United States,77200.0,1200000.0,2011,88.2,328239523.0,14.7,Film,37.09024,-95.712891,N.America
617,15700000,Volga Video,9787697838.0,Media,16874,India,153900.0,2500000.0,2012,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
618,15700000,DM - Desi Melodies,5914071870.0,Music,79,India,425500.0,6800000.0,2017,28.1,1366417754.0,5.36,Music,20.593684,78.96288,Asia
620,15700000,Team Films Bhojpuri,6626563508.0,Music,19703,India,92200.0,1500000.0,2014,28.1,1366417754.0,5.36,Music,20.593684,78.96288,Asia
621,15700000,Zee Music Classic,5558051295.0,Music,1640,India,259300.0,4100000.0,2014,28.1,1366417754.0,5.36,Music,20.593684,78.96288,Asia
622,15700000,Prime Video India,8696631898.0,Entertainment,7090,United States,1000000.0,16100000.0,2016,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
623,15600000,Caeli YT,1511794214.0,Entertainment,483,Mexico,0.0,0.0,2010,40.2,126014024.0,3.42,Entertainment,23.634501,-102.552784,N.America
625,15600000,Linus Tech Tips,7172386509.0,Education,6542,Canada,264700.0,4200000.0,2008,68.9,36991981.0,5.56,Tech,56.130366,-106.346771,N.America
626,15600000,Juliana Baltar,3869457097.0,Entertainment,2019,Brazil,168700.0,2700000.0,2010,51.3,212559417.0,12.08,Entertainment,-14.235004,-51.92528,S.America
627,15600000,5-Minute Crafts FAMILY,6165757696.0,Lifestyle,4245,United States,82100.0,1300000.0,2018,88.2,328239523.0,14.7,Howto,37.09024,-95.712891,N.America
628,15500000,Blippi Espaï¿½ï,8984089026.0,Lifestyle,598,Mexico,270000.0,4300000.0,2017,40.2,126014024.0,3.42,Education,23.634501,-102.552784,N.America
630,15500000,Katakit Baby TV,6386271870.0,Music,220,Saudi Arabia,272700.0,4400000.0,2010,68.0,34268528.0,5.93,Music,23.885942,45.079162,Asia
631,15500000,Infobells Bangla,7776706184.0,Education,359,India,503700.0,8100000.0,2016,28.1,1366417754.0,5.36,Education,20.593684,78.96288,Asia
632,15500000,ýýýýýýýý ýý ýýýýýýýý,8265129639.0,Media,1021,Saudi Arabia,405100.0,6500000.0,2017,68.0,34268528.0,5.93,Film,23.885942,45.079162,Asia
633,15500000,Henrique e Juliano,14619523361.0,Music,325,Brazil,491000.0,7900000.0,2009,51.3,212559417.0,12.08,Music,-14.235004,-51.92528,S.America
634,15500000,Mr DegrEE,12880388253.0,Education,0,United States,0.0,0.0,2016,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
635,15500000,Kashvi Adlakha,12714141740.0,Entertainment,1525,India,417400.0,6700000.0,2017,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
636,15500000,Talking Tom & Friends,6396049701.0,Entertainment,417,United States,82100.0,1300000.0,2010,88.2,328239523.0,14.7,Film,37.09024,-95.712891,N.America
638,15400000,Harsh Beniwal,1781226000.0,Lifestyle,165,India,83900.0,1300000.0,2015,28.1,1366417754.0,5.36,Comedy,20.593684,78.96288,Asia
639,15400000,FFUNTV,11513738907.0,Gaming & Sports,379,United Arab Emirates,240500.0,3800000.0,2018,36.8,9770529.0,2.35,Entertainment,23.424076,53.847818,Asia
640,15400000,Mobile Legends: Bang Bang,1543608082.0,Gaming & Sports,1647,United States,166100.0,2700000.0,2016,88.2,328239523.0,14.7,Games,37.09024,-95.712891,N.America
641,15400000,Roman Atwood Vlogs,5469103954.0,Lifestyle,1756,United States,4700.0,76000.0,2013,88.2,328239523.0,14.7,People,37.09024,-95.712891,N.America
642,15400000,Mrwhosetheboss,3736069980.0,Education,1577,United Kingdom,503100.0,8000000.0,2011,60.0,66834405.0,3.85,Tech,55.378051,-3.435973,Europe
643,15400000,Genierock,14564170905.0,Music,1725,Thailand,248400.0,4000000.0,2008,49.3,69625582.0,0.75,Music,15.870032,100.992541,Asia
644,15400000,zayn,4909687948.0,Music,21,United States,110400.0,1800000.0,2016,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
645,15400000,Kerajinan 5-Menit,4750420071.0,Lifestyle,4186,Indonesia,59200.0,947500.0,2018,36.3,270203917.0,4.69,Howto,-0.789275,113.921327,Asia
646,15300000,FC Barcelona,2656528205.0,Gaming & Sports,10988,Spain,254600.0,4100000.0,2006,88.9,47076781.0,13.96,Sports,40.463667,-3.74922,Europe
647,15300000,Dave and Ava - Nursery Rhymes and Baby Songs,10714145606.0,Education,851,United States,231200.0,3700000.0,2014,88.2,328239523.0,14.7,Education,37.09024,-95.712891,N.America
648,15300000,LOKESH GAMER,1640078055.0,Gaming & Sports,1397,India,17800.0,284200.0,2017,28.1,1366417754.0,5.36,Games,20.593684,78.96288,Asia
649,15300000,ILYA BORZOV,9938811455.0,Lifestyle,2175,Russia,1400000.0,22800000.0,2021,81.9,144373535.0,4.59,People,61.52401,105.318756,Europe
650,15300000,Mazhavil Manorama,16545966132.0,Entertainment,87864,India,1100000.0,17400000.0,2011,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
651,15200000,Pokï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,857725714.0,Lifestyle,194,India,196100.0,3100000.0,2017,28.1,1366417754.0,5.36,Film,20.593684,78.96288,Asia
652,15200000,The MriDul,4503880875.0,Lifestyle,106,India,295000.0,4700000.0,2015,28.1,1366417754.0,5.36,Comedy,20.593684,78.96288,Asia
653,15200000,Niana Guerrero,1491452935.0,Entertainment,443,Philippines,29900.0,479000.0,2013,35.5,108116615.0,2.15,Entertainment,12.879721,121.774017,Asia
654,15200000,SRK MUSIC,6391679636.0,Music,5056,India,173400.0,2800000.0,2012,28.1,1366417754.0,5.36,Music,20.593684,78.96288,Asia
655,15200000,Sony LIV,7151683497.0,Entertainment,11099,India,632700.0,10100000.0,2014,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
656,15200000,T-Series Hamaar Bhojpuri,7564652648.0,Entertainment,9862,India,317900.0,5100000.0,2011,28.1,1366417754.0,5.36,Music,20.593684,78.96288,Asia
657,15200000,Oyuncak Avï¿,8333387785.0,Entertainment,654,Turkey,13300.0,212500.0,2014,23.9,83429615.0,13.49,Entertainment,38.963745,35.243322,Asia
658,15200000,CNN,14198154095.0,Education,160405,United States,561000.0,9000000.0,2005,88.2,328239523.0,14.7,News,37.09024,-95.712891,N.America
659,15200000,NDTV India,6624168155.0,Education,91704,India,149000.0,2400000.0,2008,28.1,1366417754.0,5.36,News,20.593684,78.96288,Asia
660,15100000,It's Mamix,1777072487.0,Lifestyle,210,United States,48000.0,767200.0,2017,88.2,328239523.0,14.7,People,37.09024,-95.712891,N.America
662,15100000,Daftar Populer,2143140898.0,Education,3810,Indonesia,51700.0,827100.0,2017,36.3,270203917.0,4.69,Entertainment,-0.789275,113.921327,Asia
664,15100000,Ranz Kyle,1760131384.0,Lifestyle,533,Philippines,37100.0,594000.0,2008,35.5,108116615.0,2.15,Entertainment,12.879721,121.774017,Asia
665,15100000,PowerfulJRE,3060202847.0,Lifestyle,1037,United States,130200.0,2100000.0,2013,88.2,328239523.0,14.7,People,37.09024,-95.712891,N.America
666,15100000,Mariale,2761547758.0,Education,2618,United States,35900.0,573900.0,2010,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
667,15100000,Makiman131,4236036141.0,Gaming & Sports,2997,Spain,17900.0,286600.0,2013,88.9,47076781.0,13.96,Entertainment,40.463667,-3.74922,Europe
670,15100000,EdisonPts,6668507856.0,Gaming & Sports,3733,Russia,286800.0,4600000.0,2013,81.9,144373535.0,4.59,Games,61.52401,105.318756,Europe
